team1,team2,city,date,toss_winner,first_batting,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank,match_winner
Bangladesh,Zimbabwe,Bogra,3 December 2006,1,1,79,101,38,101,82,101,91,101,101,101,62,101,101,101,101,96,101,21,101,101,101,57,42,101,101,101,48,101,98,101,67,101,66,101,101,101,101,101,101,31,101,39,101,101,0
South Africa,India,Centurion,3 December 2006,1,1,27,78,21,99,101,101,91,101,6,101,101,101,56,15,101,12,101,101,101,66,101,55,11,97,49,101,47,1,14,101,20,48,46,101,32,101,33,100,101,95,101,13,101,8,0
Bangladesh,Zimbabwe,Bogra,5 December 2006,1,0,41,101,101,101,49,101,90,101,67,101,65,101,101,101,101,101,101,32,101,37,101,101,77,101,40,101,82,101,93,101,101,101,61,101,101,101,101,92,101,16,101,101,101,67,0
Pakistan,West Indies,Faisalabad,7 December 2006,1,1,101,101,2,32,101,101,77,54,31,101,74,47,48,101,84,101,101,3,101,35,101,31,101,101,68,101,56,101,101,101,101,101,29,40,34,34,101,101,101,101,101,53,101,55,0
Bangladesh,Zimbabwe,Mirpur,8 December 2006,1,1,101,101,83,101,93,101,43,101,101,101,58,101,101,101,101,101,101,70,101,18,101,101,38,101,101,101,49,101,81,101,67,101,65,101,101,101,101,101,101,29,101,33,101,101,0
Bangladesh,Zimbabwe,Mirpur,9 December 2006,1,1,101,101,69,101,84,101,58,101,101,101,101,101,101,101,101,70,101,18,101,101,101,84,38,101,101,101,48,101,66,101,68,101,81,101,101,30,101,101,101,101,101,33,101,73,0
Pakistan,West Indies,Lahore,10 December 2006,1,1,3,33,31,101,101,101,67,59,101,101,49,101,76,38,82,101,101,6,101,34,101,29,101,101,65,101,58,101,13,101,30,42,101,101,34,40,101,101,101,101,101,50,101,56,0
Pakistan,West Indies,Multan Cricket Stadium,13 December 2006,1,0,65,101,61,29,39,101,101,101,30,42,101,101,34,40,58,101,101,101,101,39,101,50,3,33,26,101,101,101,67,59,31,101,76,38,49,101,82,101,101,6,101,101,101,101,1
Bangladesh,Scotland,Chittagong Divisional Stadium,15 December 2006,1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,38,101,101,101,42,101,77,98,69,101,66,101,101,101,101,30,101,31,101,101,101,101,0
Pakistan,West Indies,Karachi,16 December 2006,1,1,4,33,20,101,101,101,67,61,31,101,85,101,48,101,79,39,101,101,101,101,101,29,91,101,54,101,39,101,30,41,34,42,13,101,101,101,101,101,101,95,101,34,101,56,0
Bangladesh,Scotland,Mirpur,17 December 2006,1,0,38,101,101,101,41,101,74,92,69,101,63,101,101,101,98,30,101,101,101,98,101,25,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0
New Zealand,Sri Lanka,Napier,28 December 2006,1,0,58,101,27,101,90,101,65,101,81,5,101,101,44,101,101,72,101,69,101,101,101,84,19,101,9,40,101,101,8,101,26,101,101,101,45,66,101,10,101,63,101,29,101,101,1
New Zealand,Sri Lanka,Queenstown Events Centre,31 December 2006,1,1,19,101,9,40,101,101,8,101,26,101,101,101,45,66,94,22,101,10,101,29,101,101,58,101,101,101,90,101,65,101,81,5,49,101,44,101,101,72,101,69,101,101,101,84,0
New Zealand,Sri Lanka,Queenstown Events Centre,31 December 2006,1,1,19,101,8,39,101,101,9,101,25,101,101,101,43,71,101,21,101,9,101,28,101,101,60,101,101,101,99,101,58,101,83,6,45,101,46,101,101,72,101,68,101,101,101,100,0
New Zealand,Sri Lanka,Napier,28 December 2006,1,0,59,101,28,101,101,101,56,101,80,6,101,101,46,101,101,72,101,64,101,101,101,93,24,101,12,40,101,101,8,101,25,101,101,101,43,71,101,9,101,58,101,28,101,101,1
Bangladesh,Scotland,Mirpur,17 December 2006,1,0,38,101,101,101,41,101,73,93,68,101,63,101,101,101,100,29,101,101,101,99,101,25,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0
New Zealand,Sri Lanka,Christchurch,2 January 2007,1,1,20,101,9,42,25,101,7,101,101,101,101,101,47,69,90,24,101,56,101,101,101,86,56,101,28,101,101,101,59,101,83,4,101,101,49,101,101,73,101,101,101,64,101,10,0
New Zealand,Sri Lanka,Auckland,6 January 2007,1,1,20,101,9,42,101,101,8,101,24,101,101,101,90,23,101,5,101,55,101,101,101,21,55,101,23,101,101,101,59,101,50,101,47,101,101,101,101,10,101,101,101,85,101,62,1
Australia,England,Melbourne Cricket Ground,12 January 2007,1,1,26,101,51,101,42,101,2,101,35,49,27,24,101,101,86,70,101,57,101,101,101,32,3,101,36,101,7,101,10,101,1,101,4,66,101,101,101,3,101,46,101,73,101,2,0
Australia,New Zealand,Hobart,14 January 2007,1,0,3,101,35,101,7,101,10,101,4,64,1,101,101,101,101,73,101,3,101,47,101,101,59,101,29,101,26,101,76,101,53,101,48,101,87,8,101,72,101,10,101,101,101,77,0
England,New Zealand,Hobart,16 January 2007,1,1,59,101,29,101,26,101,76,101,53,101,48,101,88,8,101,72,101,10,101,101,101,77,27,101,52,101,38,101,101,101,36,37,23,22,101,101,91,74,101,66,101,101,101,26,0
Kenya,Scotland,Mombasa Sports Club Ground,17 January 2007,1,0,101,101,101,101,101,101,66,78,71,101,101,82,81,40,101,101,101,54,101,101,101,101,101,101,101,101,93,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0
Canada,Scotland,Mombasa Sports Club Ground,18 January 2007,1,0,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,93,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1
Australia,England,Woolloongabba,19 January 2007,1,1,26,101,101,101,40,101,101,101,37,38,22,25,101,101,82,75,101,101,101,48,101,21,3,101,36,101,101,101,8,101,6,66,1,101,101,101,100,5,101,2,101,73,101,3,0
Australia,New Zealand,Sydney Cricket Ground,21 January 2007,1,1,27,101,30,101,52,101,71,101,53,101,42,101,59,101,91,7,101,68,101,91,101,53,3,101,36,101,8,101,9,101,6,66,1,101,101,101,100,5,101,3,101,37,101,2,0
India,West Indies,Nagpur,21 January 2007,1,0,86,101,60,101,23,97,4,101,14,101,75,101,101,101,101,20,101,13,101,56,101,101,5,33,16,101,48,101,66,60,31,101,61,58,81,39,90,101,101,9,101,35,101,101,0
Kenya,Scotland,Mombasa Sports Club Ground,21 January 2007,1,0,101,101,101,101,91,101,67,74,73,101,101,84,80,47,101,101,101,101,101,54,101,101,101,101,101,101,79,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0
England,New Zealand,Adelaide Oval,23 January 2007,1,1,27,101,101,101,50,101,71,101,42,101,63,16,54,101,101,51,93,4,101,10,101,94,26,101,101,101,41,101,101,101,37,43,23,18,101,101,87,78,101,44,101,101,101,23,1
Canada,Scotland,Mombasa Sports Club Ground,23 January 2007,1,0,97,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,80,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1
Kenya,Canada,Mombasa Sports Club Ground,24 January 2007,1,1,97,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,84,101,66,73,76,101,101,86,101,101,101,101,101,101,101,55,101,101,1
India,West Indies,Cuttack,24 January 2007,1,0,60,101,89,101,15,101,25,91,101,101,5,101,101,101,101,13,101,20,101,62,101,101,6,34,14,101,101,101,69,64,56,58,48,101,78,38,93,101,101,9,101,101,101,35,0
Australia,England,Adelaide Oval,26 January 2007,1,1,27,101,101,101,36,101,101,101,39,44,25,20,88,79,101,101,101,101,101,101,101,101,3,101,34,101,6,101,1,101,4,64,9,101,101,101,91,18,101,4,101,38,101,59,0
India,West Indies,Chepauk,27 January 2007,1,0,101,101,97,101,74,101,22,93,15,101,18,101,101,101,101,15,101,55,101,70,101,63,8,34,101,101,52,101,62,60,28,101,101,101,61,46,89,101,101,101,101,35,101,101,1
Australia,New Zealand,Perth,28 January 2007,1,0,4,101,31,101,3,101,10,101,5,67,1,101,101,101,101,4,101,58,101,5,101,2,53,101,26,101,50,101,68,101,42,101,49,20,51,101,91,3,101,90,101,13,101,75,0
Kenya,Bermuda,Nairobi,29 January 2007,1,1,101,101,100,101,88,101,101,101,101,101,101,101,101,101,101,101,101,101,101,96,101,101,101,101,101,101,68,73,76,101,101,88,101,101,82,44,101,52,101,101,85,101,101,95,0
England,New Zealand,Perth,30 January 2007,1,1,49,101,26,101,53,101,58,101,43,101,47,20,52,101,101,53,91,3,101,69,101,10,101,101,101,101,36,101,27,101,39,47,25,19,89,79,101,101,101,94,101,101,101,101,1
Canada,Netherlands,Nairobi,30 January 2007,1,0,93,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,77,101,101,101,101,101,101,98,101,101,101,101,101,101,101,101,1
Ireland,Scotland,Nairobi,30 January 2007,1,0,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,75,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1
India,West Indies,Vadodara,31 January 2007,1,0,99,101,55,101,12,101,18,97,4,101,19,101,101,15,61,18,101,12,101,63,101,101,15,101,9,34,101,101,59,61,30,101,101,101,85,101,81,39,101,101,101,9,101,101,0
Bermuda,Ireland,Nairobi,31 January 2007,1,0,101,101,89,101,88,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,86,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1
Canada,Scotland,Nairobi,31 January 2007,1,1,101,101,101,101,75,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,98,101,101,93,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1
Kenya,Netherlands,Nairobi,31 January 2007,1,1,101,101,101,101,82,101,101,101,101,101,101,89,101,101,101,101,101,101,101,101,101,101,101,101,97,101,92,101,68,66,71,101,78,45,101,40,101,101,101,96,101,101,101,84,0
Australia,England,Sydney Cricket Ground,2 February 2007,1,1,74,101,101,101,34,101,26,20,27,101,84,80,101,101,101,101,101,69,101,83,101,101,6,101,29,101,101,101,10,101,4,73,1,101,101,101,101,6,101,39,101,2,101,101,1
Bermuda,Canada,Nairobi,2 February 2007,1,1,101,101,101,101,89,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,95,101,101,101,101,101,101,101,101,101,101,101,101,101,101,86,1
Kenya,Ireland,Nairobi,2 February 2007,1,1,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,97,101,101,101,68,66,71,101,92,101,101,101,101,96,78,45,101,40,101,84,0
Netherlands,Scotland,Nairobi,2 February 2007,1,1,101,101,101,101,83,101,98,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,58,101,101,101,101,87,101,101,101,101,101,101,101,101,101,101,1
Australia,New Zealand,Melbourne Cricket Ground,4 February 2007,1,1,44,101,29,101,50,101,64,101,38,45,49,24,53,101,97,3,101,49,101,90,101,10,7,101,31,101,2,101,12,101,101,101,1,101,101,101,101,101,101,37,101,5,101,58,0
Bermuda,Netherlands,Nairobi,4 February 2007,1,0,101,101,101,101,101,101,101,101,101,101,101,101,86,101,101,101,101,101,101,85,101,101,101,101,101,101,58,101,101,101,101,101,101,87,101,101,101,101,101,101,101,101,101,101,1
Canada,Ireland,Nairobi,4 February 2007,1,1,101,101,101,101,101,101,101,101,95,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,84,101,88,91,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0
Kenya,Scotland,Nairobi,4 February 2007,1,1,101,101,101,101,83,101,98,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,93,101,101,101,71,64,70,101,101,100,76,52,101,101,101,101,101,39,101,83,1
Zimbabwe,Bangladesh,Harare Sports Club,4 February 2007,1,1,36,101,101,101,39,101,72,93,68,101,66,101,101,29,101,101,101,101,101,28,101,101,101,101,85,101,80,101,92,101,101,101,101,101,51,101,101,75,101,18,101,101,101,80,1
South Africa,Pakistan,Centurion,4 February 2007,1,0,42,101,10,101,101,101,18,49,43,101,26,101,34,101,47,1,101,101,101,12,101,6,99,101,52,101,101,101,64,27,11,101,101,101,27,43,35,51,101,101,101,39,101,35,0
Bermuda,Scotland,Nairobi,5 February 2007,1,1,101,101,101,101,80,101,89,101,101,101,101,101,101,101,101,101,101,99,101,101,101,101,101,101,101,101,101,101,101,101,101,101,94,101,79,101,101,101,101,101,101,101,101,101,0
Kenya,Canada,Nairobi,5 February 2007,1,0,101,101,101,101,98,101,71,65,65,101,101,101,77,44,101,101,101,101,101,37,101,86,101,101,101,101,101,101,87,101,90,91,101,101,101,98,101,101,101,101,101,101,101,101,0
Ireland,Netherlands,Nairobi,5 February 2007,1,1,101,101,88,101,68,101,101,101,101,101,101,86,101,101,101,101,101,101,101,101,101,101,101,101,95,101,97,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,1
England,New Zealand,Woolloongabba,6 February 2007,1,0,73,101,60,101,34,101,26,101,36,41,28,19,85,82,101,101,101,63,101,88,101,101,44,101,25,101,51,101,64,101,39,49,50,25,56,101,101,4,101,52,101,9,101,87,0
Zimbabwe,Bangladesh,Harare Sports Club,6 February 2007,1,1,37,101,101,101,42,101,74,92,71,101,70,101,101,101,101,29,101,101,101,30,101,101,101,101,62,101,99,101,101,101,44,101,101,101,49,101,101,51,101,18,101,101,101,77,0
Kenya,Scotland,Nairobi,7 February 2007,1,1,101,101,101,101,79,101,97,101,101,101,101,101,101,101,101,100,101,101,101,101,101,101,101,101,84,101,96,101,72,66,66,101,101,101,78,46,101,101,101,37,101,81,101,101,0
South Africa,Pakistan,Durban,7 February 2007,1,1,101,101,60,101,101,101,6,101,101,101,53,20,26,39,35,52,101,101,101,101,101,25,11,101,40,101,18,54,16,101,44,101,32,101,37,101,47,1,101,15,101,7,101,53,1
Australia,England,Melbourne Cricket Ground,9 February 2007,1,0,9,101,28,101,2,101,12,99,101,101,1,101,82,37,101,21,101,3,101,6,101,2,79,101,101,101,30,101,31,101,29,44,27,16,87,83,101,101,101,65,101,81,101,101,1
Zimbabwe,Bangladesh,Harare Sports Club,9 February 2007,1,1,101,101,37,101,40,101,75,80,101,101,70,101,72,101,101,29,101,101,101,95,101,30,101,101,55,101,101,101,101,101,49,101,43,101,101,101,101,48,101,21,101,89,101,66,1
Zimbabwe,Bangladesh,Harare Sports Club,10 February 2007,1,0,101,101,55,101,77,101,101,101,101,101,43,101,49,101,101,21,101,66,101,89,101,64,101,101,37,101,101,101,40,101,75,82,70,101,101,101,101,28,101,95,101,30,101,101,1
Australia,England,Sydney Cricket Ground,11 February 2007,1,1,83,101,101,101,28,101,32,101,21,48,26,14,90,83,101,101,101,57,101,80,101,101,11,101,31,101,2,101,14,101,101,101,1,101,80,37,101,22,101,3,101,7,101,2,1
India,Sri Lanka,Rajkot,11 February 2007,1,1,22,101,9,43,24,101,5,101,101,101,45,76,58,101,98,17,101,101,101,101,101,23,101,101,52,101,13,101,17,96,34,91,4,101,101,101,101,11,101,69,101,56,101,45,1
South Africa,Pakistan,Cape Town,11 February 2007,1,1,101,101,61,101,101,101,7,101,101,101,27,46,38,60,101,101,101,101,101,101,101,27,28,101,10,101,17,101,16,37,46,101,36,101,31,101,48,1,101,16,101,7,101,41,0
India,Sri Lanka,Fatorda,14 February 2007,1,1,26,101,11,44,101,101,6,101,22,101,44,76,53,101,96,20,101,101,101,101,101,58,51,101,35,92,18,100,20,101,12,101,3,101,101,101,101,11,101,14,101,101,101,38,0
South Africa,Pakistan,Johannesburg,14 February 2007,1,1,101,101,101,101,101,101,61,101,7,101,101,101,27,46,38,60,101,101,101,59,101,27,9,101,28,101,16,37,17,101,46,101,36,101,31,101,48,1,101,16,101,5,101,39,0
New Zealand,Australia,Wellington,16 February 2007,1,1,34,101,101,101,101,101,1,101,101,101,101,101,81,43,101,24,101,64,101,8,101,2,39,101,21,101,63,101,43,55,51,21,47,101,57,101,101,3,101,7,101,77,101,45,0
India,Sri Lanka,Visakhapatnam,17 February 2007,1,1,101,101,11,48,101,101,7,101,101,101,47,73,53,101,93,24,101,101,101,25,101,58,33,91,51,101,91,101,101,101,17,101,12,101,2,101,101,11,101,12,101,101,101,50,0
New Zealand,Australia,Auckland,18 February 2007,1,1,23,101,101,101,101,101,1,101,81,101,101,101,73,41,101,31,101,8,101,2,101,101,40,101,21,101,47,101,45,62,39,101,38,101,52,101,101,3,101,61,101,7,101,54,0
New Zealand,Australia,Hamilton,20 February 2007,1,1,23,101,74,41,101,101,81,101,1,101,101,101,101,101,101,31,101,8,101,101,101,56,41,101,21,101,47,101,45,62,39,101,38,101,52,101,101,48,101,54,101,61,101,70,0
Bangladesh,Bermuda,St John's,25 February 2007,1,1,101,101,101,101,101,101,101,101,98,101,101,101,68,101,101,94,101,101,101,81,101,101,101,101,35,101,40,101,72,80,70,101,101,101,73,101,101,101,101,29,101,77,101,95,0
Bermuda,Canada,St John's,26 February 2007,1,0,101,101,101,101,101,101,101,101,99,101,101,94,70,101,101,101,101,101,101,101,101,82,101,101,91,101,98,101,92,101,97,81,101,101,101,90,101,101,101,101,101,101,101,101,1
Bangladesh,Canada,St John's,28 February 2007,1,0,101,101,35,101,41,101,59,79,68,101,69,101,101,101,101,101,101,30,101,26,101,101,101,101,91,101,98,101,92,101,95,81,101,101,101,90,101,101,101,101,101,101,101,101,0
West Indies,Pakistan,Kingston,13 March 2007,1,0,9,35,15,101,12,101,53,66,32,101,63,44,96,101,81,33,101,34,101,101,101,32,101,101,101,101,101,101,6,101,101,101,21,52,67,101,101,101,101,47,101,63,101,101,0
Australia,Scotland,Basseterre,14 March 2007,1,0,11,101,22,101,2,101,18,101,80,101,1,101,74,40,98,30,101,8,101,101,101,2,101,101,101,101,101,101,84,101,101,101,101,101,101,101,101,96,101,101,101,100,101,101,0
Canada,Kenya,Gros Islet,14 March 2007,1,0,101,101,92,101,98,101,89,101,99,83,101,101,101,101,101,86,101,101,101,101,101,101,101,101,87,101,101,101,66,65,60,101,101,101,77,45,101,94,101,101,101,37,101,81,1
Bermuda,Sri Lanka,Port of Spain,15 March 2007,1,1,30,101,11,50,101,101,5,101,101,101,47,77,93,21,56,101,101,101,101,5,101,23,101,101,101,101,101,88,101,101,101,101,101,101,101,101,68,101,101,101,101,101,101,82,1
Ireland,Zimbabwe,Kingston,15 March 2007,1,0,100,101,101,101,96,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,55,101,80,101,101,101,70,101,45,101,50,101,101,47,101,17,101,91,101,69,2
England,New Zealand,Gros Islet,16 March 2007,1,0,88,101,62,101,31,101,2,101,23,52,29,12,92,88,101,101,101,59,101,25,101,101,42,101,25,101,52,101,40,54,38,101,49,21,53,101,101,6,101,42,101,3,101,77,1
Netherlands,South Africa,Basseterre,16 March 2007,1,1,30,101,8,101,13,39,16,101,26,101,48,101,35,101,49,1,101,16,101,40,101,15,101,101,89,101,101,101,59,101,101,101,101,101,101,94,101,101,101,101,101,101,101,101,1
Bangladesh,India,Port of Spain,17 March 2007,1,1,46,101,34,89,90,101,19,101,14,101,15,101,4,101,101,11,101,13,101,101,101,38,101,101,36,101,101,101,43,101,51,79,72,101,71,101,101,101,101,22,101,18,101,74,0
Ireland,Pakistan,Kingston,17 March 2007,1,1,101,101,101,101,101,101,7,101,101,101,24,58,64,101,101,101,101,41,101,45,101,61,101,101,101,101,101,101,101,101,101,93,101,101,101,101,101,101,101,101,101,101,101,101,0
Australia,Netherlands,Basseterre,18 March 2007,1,0,10,101,22,101,3,101,17,101,71,101,1,101,75,42,97,30,101,8,101,101,101,2,101,101,85,101,101,101,69,101,101,101,101,101,101,85,101,101,101,101,101,101,101,101,0
Canada,England,Gros Islet,18 March 2007,1,1,82,101,60,101,32,101,2,101,21,51,101,101,98,90,101,101,101,56,101,28,101,97,99,79,101,101,101,101,91,101,88,101,96,101,101,101,101,74,101,101,101,101,101,101,1
Bermuda,India,Port of Spain,19 March 2007,1,1,92,101,46,101,33,86,4,101,15,101,19,101,14,101,101,13,101,101,101,101,101,35,101,101,101,101,101,101,93,101,101,101,101,101,101,101,76,101,101,101,101,82,101,101,1
West Indies,Zimbabwe,Kingston,19 March 2007,1,1,57,101,101,101,81,101,50,101,71,101,91,101,41,101,101,17,101,69,101,87,101,101,9,34,18,101,14,101,55,68,31,101,61,47,82,36,97,101,101,33,101,101,101,32,0
Kenya,New Zealand,Gros Islet,20 March 2007,1,1,44,101,23,101,47,101,38,52,37,101,53,28,54,101,101,7,101,41,101,3,101,60,101,101,94,101,85,101,67,67,64,101,101,101,77,44,101,94,101,101,101,40,101,82,1
Scotland,South Africa,Basseterre,20 March 2007,1,0,101,101,101,101,80,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,7,101,26,101,48,101,35,101,50,1,12,38,16,101,27,101,101,16,101,37,101,6,1
Bangladesh,Sri Lanka,Port of Spain,21 March 2007,1,1,29,101,6,49,101,101,5,101,81,101,56,101,49,72,101,101,101,4,101,17,95,18,101,101,39,101,101,101,45,101,55,70,74,101,63,101,101,29,101,101,101,22,101,75,1
Pakistan,Zimbabwe,Kingston,21 March 2007,1,0,66,101,101,101,24,58,101,101,10,101,101,101,58,23,101,41,101,48,101,54,101,101,59,101,86,101,101,101,51,101,70,101,41,101,96,101,101,47,101,19,101,70,101,86,0
Canada,New Zealand,Gros Islet,22 March 2007,1,1,40,101,21,101,36,101,37,49,35,101,50,24,52,101,101,9,101,61,101,69,101,60,84,78,101,101,99,101,83,101,91,101,101,101,101,72,101,94,101,101,101,101,101,101,1
Netherlands,Scotland,Basseterre,22 March 2007,1,1,101,101,101,101,81,101,101,101,101,101,101,101,101,101,101,92,101,101,101,101,101,101,101,101,91,101,101,101,56,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0
India,Sri Lanka,Port of Spain,23 March 2007,1,1,23,101,8,46,101,101,5,101,63,101,45,73,54,101,101,4,101,101,101,17,101,63,88,101,47,101,30,84,19,98,12,101,17,101,4,101,101,13,101,11,101,101,101,35,1
West Indies,Ireland,Kingston,23 March 2007,1,1,101,101,101,101,100,101,101,101,101,91,101,101,101,101,101,97,101,101,101,101,101,101,11,33,16,101,15,101,53,70,31,101,61,47,81,36,97,101,101,10,101,34,101,101,0
Australia,South Africa,Basseterre,24 March 2007,1,0,9,101,20,101,2,101,12,101,8,81,3,101,72,43,101,28,101,6,101,93,101,4,4,101,19,101,14,39,18,101,48,101,27,101,34,101,49,1,101,15,101,38,101,9,0
England,Kenya,Gros Islet,24 March 2007,1,1,101,101,101,101,101,101,60,66,69,101,101,101,79,44,101,95,101,101,101,39,101,83,77,101,62,101,32,101,1,101,21,51,28,12,101,101,101,101,101,25,101,92,101,84,0
Bangladesh,Bermuda,Port of Spain,25 March 2007,1,1,101,101,101,101,101,101,100,101,101,101,101,101,75,101,101,101,101,101,101,101,101,80,101,101,39,101,47,101,53,70,63,101,101,101,74,101,101,101,101,28,101,18,101,71,0
West Indies,Australia,North Sound,28 March 2007,1,1,12,101,10,101,2,101,13,101,9,82,3,101,69,43,97,21,101,6,101,87,101,2,15,36,19,101,16,101,55,72,25,101,62,50,87,101,84,38,101,35,101,101,101,33,1
South Africa,Sri Lanka,Guyana,28 March 2007,1,1,26,101,7,44,101,101,6,101,68,101,40,75,54,101,96,29,101,4,101,18,101,101,4,101,20,101,8,42,18,101,30,101,36,101,51,1,101,14,101,101,101,7,101,32,0
West Indies,New Zealand,North Sound,29 March 2007,1,0,13,37,19,101,16,101,55,72,24,101,62,51,85,101,101,101,87,40,101,101,101,33,38,101,23,101,65,101,34,46,35,101,50,17,52,101,101,8,101,47,101,2,101,52,1
England,Ireland,Guyana,30 March 2007,1,0,80,101,62,101,32,101,1,101,20,55,28,12,101,101,101,101,101,83,101,27,101,87,101,101,101,101,101,101,95,101,101,89,101,101,101,101,101,101,101,90,101,101,101,101,0
Australia,Bangladesh,North Sound,31 March 2007,1,1,101,101,43,101,47,101,54,75,62,101,74,101,101,28,101,101,101,101,101,21,101,101,12,101,9,101,2,101,13,101,10,82,3,101,68,45,97,19,101,5,101,84,101,2,0
West Indies,Sri Lanka,Guyana,1 April 2007,1,1,28,101,5,38,8,101,101,101,63,101,37,70,54,101,101,52,101,4,101,18,101,101,15,43,62,56,19,101,26,101,16,101,56,74,88,44,86,101,101,10,101,35,101,101,1
Bangladesh,New Zealand,North Sound,2 April 2007,1,0,101,101,101,101,48,101,49,79,76,101,70,101,101,101,101,32,101,101,101,24,101,62,39,101,19,101,61,101,34,37,35,101,50,13,52,101,101,8,101,49,101,2,101,59,1
Ireland,South Africa,Guyana,3 April 2007,1,0,101,101,101,101,96,101,93,101,101,101,101,84,101,101,101,90,101,101,101,101,101,101,24,101,4,101,7,43,20,101,45,101,30,101,36,101,53,1,101,15,101,31,101,7,1
England,Sri Lanka,North Sound,4 April 2007,1,1,26,101,4,39,10,101,101,101,63,101,38,69,53,101,101,4,101,19,101,101,101,47,82,101,69,101,27,101,1,101,21,55,30,11,101,101,101,101,101,75,101,27,101,89,1
Bangladesh,South Africa,Guyana,7 April 2007,1,0,101,101,101,101,76,101,54,80,55,101,44,101,101,101,101,31,101,101,101,15,101,51,5,101,25,101,7,43,38,101,46,101,31,101,18,101,53,1,101,16,101,32,101,9,0
Australia,England,North Sound,8 April 2007,1,1,21,101,72,101,33,101,1,101,24,55,32,11,101,101,101,101,101,79,101,89,101,28,13,101,9,101,2,101,12,101,8,85,3,101,70,101,98,20,101,4,101,72,101,3,0
Ireland,New Zealand,Guyana,9 April 2007,1,1,35,101,20,101,101,101,34,42,36,101,51,13,48,101,101,7,101,48,101,2,101,70,101,101,101,101,101,101,90,101,85,101,101,101,101,101,101,101,101,84,101,101,101,101,1
West Indies,South Africa,St George's,10 April 2007,1,1,15,101,6,101,5,36,18,101,29,101,54,1,46,101,101,101,101,19,101,15,101,9,17,43,21,101,101,101,28,101,14,101,64,64,101,101,87,101,101,101,101,101,101,30,1
Bangladesh,England,Bridgetown,11 April 2007,1,0,101,101,48,101,78,101,101,101,42,78,55,101,45,101,101,31,101,101,101,11,101,38,24,101,68,101,34,101,1,101,22,54,33,10,101,101,101,101,101,61,101,26,101,81,1
New Zealand,Sri Lanka,St George's,12 April 2007,1,0,35,101,21,101,54,101,31,42,37,101,50,14,51,101,101,7,101,51,101,2,101,72,28,101,4,39,8,101,101,101,56,101,38,71,52,101,99,29,101,3,101,50,101,101,1
