team1,team2,city,date,toss_winner,first_batting,team1_player1_bat_rank,team1_player1_bowl_rank,team1_player2_bat_rank,team1_player2_bowl_rank,team1_player3_bat_rank,team1_player3_bowl_rank,team1_player4_bat_rank,team1_player4_bowl_rank,team1_player5_bat_rank,team1_player5_bowl_rank,team1_player6_bat_rank,team1_player6_bowl_rank,team1_player7_bat_rank,team1_player7_bowl_rank,team1_player8_bat_rank,team1_player8_bowl_rank,team1_player9_bat_rank,team1_player9_bowl_rank,team1_player10_bat_rank,team1_player10_bowl_rank,team1_player11_bat_rank,team1_player11_bowl_rank,team2_player1_bat_rank,team2_player1_bowl_rank,team2_player2_bat_rank,team2_player2_bowl_rank,team2_player3_bat_rank,team2_player3_bowl_rank,team2_player4_bat_rank,team2_player4_bowl_rank,team2_player5_bat_rank,team2_player5_bowl_rank,team2_player6_bat_rank,team2_player6_bowl_rank,team2_player7_bat_rank,team2_player7_bowl_rank,team2_player8_bat_rank,team2_player8_bowl_rank,team2_player9_bat_rank,team2_player9_bowl_rank,team2_player10_bat_rank,team2_player10_bowl_rank,team2_player11_bat_rank,team2_player11_bowl_rank,match_winner
India,Sri Lanka,Nagpur,1 December 1990,1,0,16,101,34,25,51,101,12,75,75,101,101,101,101,101,71,13,77,101,92,22,101,59,38,101,69,90,30,71,11,51,20,44,101,101,65,26,101,31,101,101,101,101,101,49,0
Australia,New Zealand,Adelaide Oval,2 December 1990,1,1,33,101,7,101,17,63,38,79,98,101,49,101,101,91,101,66,101,56,101,34,100,21,9,101,15,101,1,99,11,48,64,101,18,37,35,12,54,15,56,101,101,10,101,3,0
India,Sri Lanka,Pune,5 December 1990,1,1,39,101,101,101,29,73,14,51,18,44,71,28,101,101,101,101,101,31,101,1,101,48,34,25,16,101,51,101,11,76,59,101,101,101,72,13,77,101,101,63,92,22,101,61,0
England,New Zealand,Perth,7 December 1990,1,1,33,101,7,101,17,65,31,101,39,79,50,101,101,89,101,71,101,57,101,26,101,20,81,101,49,101,30,101,5,101,71,101,68,101,101,60,94,11,101,101,101,42,101,101,0
India,Sri Lanka,Fatorda,8 December 1990,1,0,34,26,18,101,54,101,13,76,51,101,101,101,72,14,79,101,93,22,101,59,101,68,39,101,101,101,29,73,10,53,17,46,101,101,101,101,70,24,101,44,98,51,101,101,1
Australia,England,Perth,9 December 1990,1,1,81,101,47,101,25,101,6,101,62,101,101,61,67,101,94,12,101,83,101,41,101,91,15,101,9,101,1,100,13,49,65,101,19,37,82,34,35,11,57,101,101,8,101,3,0
Australia,New Zealand,Melbourne Cricket Ground,11 December 1990,1,0,9,101,16,101,1,101,33,11,12,49,69,101,20,33,81,37,55,101,98,34,101,3,14,63,34,101,32,101,38,78,101,101,101,83,101,101,101,67,101,51,100,24,99,21,0
England,New Zealand,Sydney Cricket Ground,13 December 1990,1,0,5,55,48,101,30,101,4,101,77,101,53,101,101,54,101,80,95,25,101,34,101,75,10,65,34,101,101,84,38,79,101,101,101,101,101,91,101,62,101,47,100,24,101,21,0
England,New Zealand,Woolloongabba,15 December 1990,1,0,4,57,48,101,28,101,6,101,76,101,50,101,101,52,57,17,101,33,101,62,101,72,8,65,34,101,7,101,93,101,38,79,101,101,101,86,101,56,101,43,101,1,101,21,1
Australia,England,Woolloongabba,16 December 1990,1,0,18,101,7,101,1,100,20,35,73,94,34,11,13,51,82,34,57,101,101,9,101,30,5,57,50,101,6,101,47,101,30,101,76,101,49,17,101,80,94,25,101,29,101,71,0
